"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-01","3.4"," 1443"," 1504","0.0","0.0","432.0","-9.4","-4.4","-15.0",,"  320","   20","6.3","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-02","3.8"," 2351"," 2330","0.0","0.0","381.0","-11.1","-7.2","-15.0",,"  230","  230","7.6","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-03","5.1"," 1337"," 0054","0.0","0.0","356.0","-7.8","-2.2","-13.9",,"  250","  250","8.9","11.2","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-04","5.2"," 2114"," 2115","0.0","0.0","356.0","-3.9","-1.1","-7.2",,"  210","  200","10.3","13.4","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-05","6.2"," 1441"," 1440","0.0","0.0","330.0","-1.7","2.2","-6.1",,"  330","  330","10.7","13.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-06","3.7"," 1303"," 1305","0.0","0.0","305.0","-3.9","0.6","-8.3",,"  230","  220","8.0","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-07","4.3"," 1550"," 1224","0.0","0.0","305.0","-2.2","1.1","-6.1",,"  340","   20","7.6","11.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-08","4.5"," 2103"," 1715","0.0","0.0","305.0","-7.2","-3.3","-11.1",,"  350","   30","6.7","10.3",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-09","4.9"," 1319"," 1539","0.0","0.0","305.0","-8.3","-5.0","-12.2",,"  270","  260","8.9","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-10","4.5"," 2204"," 1531","0.0","0.0","279.0","-3.3","1.1","-7.8",,"  240","  220","7.2","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-11","2.3"," 0032"," 0045","0.0","0.0","279.0","-1.7","3.9","-7.8",,"  220","  240","5.4","6.3","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-12","2.1"," 1649"," 1649","0.0","0.0","279.0","-1.1","2.8","-5.0",,"  240","  250","5.4","5.8","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-13","3.8"," 1718"," 1717","0.0","0.0","254.0","1.1","2.2","0.0",,"  120","  120","8.0","10.3","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-14","4.0"," 0004"," 2358","3.8","0.0","203.0","1.1","2.2","0.0",,"  130","  130","7.6","9.8","    1",,,,,"    1",,,,,"    1","    1",,"    1","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-15","5.5"," 2352"," 2351","1.3","0.0","152.0","0.6","1.7","-0.6",,"  280","  280","9.4","11.2","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-16","4.3"," 0118"," 0120","0.0","0.0","152.0","-1.7","-0.6","-3.3","    0","  290","  300","8.0","9.8","    1",,,,,"    1",,,,,"    1",,"    1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-17","3.1"," 1401"," 1353","0.0","0.0","152.0","-5.0","-3.3","-7.2",,"  270","  240","5.4","6.3","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-18","3.9"," 1159"," 1223","0.0","0.0","152.0","-3.9","-0.6","-7.2",,"  210","  220","7.6","8.9","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-19","5.7"," 1058"," 1104","0.0","0.0","127.0","-5.6","-2.8","-8.3",,"   10","   10","11.2","13.0","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-20","3.9"," 1545"," 0233","0.0","0.0","127.0","-7.8","-4.4","-11.7",,"  280","  350","6.3","9.8",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-21","2.7"," 1014"," 2210","0.0","0.0","127.0","-8.3","-3.9","-12.8",,"  280","   10","4.5","6.3","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-22","2.6"," 2340"," 2348","0.0","0.0","127.0","-7.8","-1.7","-14.4",,"  230","  230","5.4","6.7","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-23","3.6"," 0253"," 0147","0.0","0.0","127.0","-2.2","1.7","-6.1",,"  230","  220","6.3","8.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-24","5.7"," 1525"," 1525","0.0","0.0","127.0","-5.6","-2.2","-8.9",,"  340","  330","9.4","10.7","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-25","3.8"," 0017"," 1246","0.0","0.0","127.0","-7.2","-3.9","-10.6",,"  330","  260","6.7","7.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-26","5.8"," 2201"," 2200","1.5","25.0","127.0","-3.3","-0.6","-6.1",,"  330","  320","12.5","14.3","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-27","5.5"," 0130"," 0003","0.0","0.0","127.0","-6.1","-3.3","-9.4",,"  310","  320","9.8","12.5",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-28","2.7"," 0240"," 0239","0.8","3.0","127.0","-5.6","-1.7","-10.0",,"  260","  260","5.8","7.2","    1",,,,,"    1",,,,,"    1",,"    1","    1","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-29","5.5"," 1921"," 1920","15.7","0.0","127.0","1.1","5.6","-1.7",,"  120","  120","11.2","14.3","    1",,,,,"    1",,"    1",,,"    1",,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-30","3.4"," 0024"," 0027","5.3","10.0","51.0","2.2","4.4","0.0",,"  230","  220","7.2","9.4","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-31","4.4"," 1202"," 1140","0.0","0.0","51.0","-0.6","1.7","-2.8",,"  270","  290","7.6","10.3","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-01","4.6"," 2250"," 1940","0.0","0.0","51.0","-7.8","0.0","-15.6",,"  290","  280","8.9","10.7","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-02","5.1"," 0416"," 0415","0.0","0.0","25.0","-17.8","-11.1","-18.9",,"  290","  300","8.9","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-03","4.1"," 1048"," 1048","0.3","8.0","25.0","-6.7","-1.1","-12.2",,"  200","  190","7.6","9.4","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-04","2.6"," 2338"," 2337","0.8","3.0","51.0","-1.1","1.1","-3.3",,"  330","  340","5.8","7.2","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-05","4.5"," 1403"," 1044","0.3","5.0","25.0","-1.7","0.0","-3.3",,"  240","  270","7.2","9.4","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-06","2.9"," 0707"," 0613","0.0","0.0","25.0","-2.2","2.2","-6.7",,"  330","  360","6.3","7.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-07","3.3"," 1928"," 1635","1.3","0.0","0.0","-3.3","1.7","-8.3",,"  100","   80","9.8","13.4","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-08","3.2"," 2342"," 2341","14.7","0.0","0.0","6.7","11.7","1.1",,"  210","  210","11.2","14.3","    1","    1","    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-09","6.9"," 1819"," 1837","13.2","28.0","0.0","2.8","12.2","-6.7",,"  330","  330","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-10","4.2"," 0011"," 0010","0.0","0.0","25.0","-8.9","-6.7","-11.1",,"  320","  320","9.4","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-11","4.1"," 2030"," 1828","0.0","0.0","25.0","-7.2","-2.8","-12.2",,"  130","   70","8.9","10.7",,,,,,,,,,,,,,,,,,,,,
