"STATION","NAME","DATE","DAPR","MDPR","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-03-14",,,"34.3",,,,,,,,,,,,,,,,,
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-03-15",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-03-30",,,"23.9",,,,,,,,,,,,,,,,,
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-04-17",,,"2.5",,,,,,,,,,,,,,,,,
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-04-27",,,"9.7",,,,,,,,,,,,,,,,,
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-07-10",,,"30.5",,,,,,,,,,,,,,,,,
"US1ILCK0393","TINLEY PARK 1.2 WNW, IL US","2024-07-24",,,"2.5",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-03-25",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-04-14",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-04-15",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-05",,,"8.1",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-06",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-08",,,"18.5",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-09",,,"0.8",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-10",,,"10.2",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-11",,,"3.3",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-12",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-14",,,"2.3",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-15",,,"0.8",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-16",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-18",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-21",,,"11.7",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-25",,,"1.0",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-26",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-05-27",,,"25.1",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-02",,,"31.8",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-05",,,"17.5",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-06",,,"0.5",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-11",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-16",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-17",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-19",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-20",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-21",,,"0.8",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-22",,,"6.6",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-23",,,"38.9",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-25",,,"4.3",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-26",,,"13.5",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-06-28",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-08",,,"19.3",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-10",,,"13.7",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-17",,,"1.8",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-20",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-21",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-22",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-23",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-24",,,"8.1",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-07-30",,,"8.4",,,,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-08-10",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-08-11",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-08-14",,,"0.0",,"0.0",,,,,,,,,,,,,,,
"US1ILCK0150","ARLINGTON HEIGHTS 1.2 S, IL US","2024-08-17",,,"0.8",,,,,,,,,,,,,,,,,
