Year,Holiday,Date,Observed Date
2001,New Year's Day,2001-01-01,2001-01-01
2001,Martin Luther King Jr. Day,2001-01-22,2001-01-22
2001,Presidents' Day,2001-02-26,2001-02-26
2001,Memorial Day,2001-06-04,2001-06-04
2001,Juneteenth National Independence Day,2001-06-19,2001-06-19
2001,Independence Day,2001-07-04,2001-07-04
2001,Labor Day,2001-09-03,2001-09-03
2001,Columbus Day,2001-10-15,2001-10-15
2001,Veterans Day,2001-11-11,2001-11-12
2001,Thanksgiving Day,2001-11-22,2001-11-22
2001,Christmas Day,2001-12-25,2001-12-25
2002,New Year's Day,2002-01-01,2002-01-01
2002,Martin Luther King Jr. Day,2002-01-28,2002-01-28
2002,Presidents' Day,2002-02-25,2002-02-25
2002,Memorial Day,2002-06-03,2002-06-03
2002,Juneteenth National Independence Day,2002-06-19,2002-06-19
2002,Independence Day,2002-07-04,2002-07-04
2002,Labor Day,2002-09-02,2002-09-02
2002,Columbus Day,2002-10-21,2002-10-21
2002,Veterans Day,2002-11-11,2002-11-11
2002,Thanksgiving Day,2002-11-28,2002-11-28
2002,Christmas Day,2002-12-25,2002-12-25
2003,New Year's Day,2003-01-01,2003-01-01
2003,Martin Luther King Jr. Day,2003-01-27,2003-01-27
2003,Presidents' Day,2003-02-24,2003-02-24
2003,Memorial Day,2003-06-02,2003-06-02
2003,Juneteenth National Independence Day,2003-06-19,2003-06-19
2003,Independence Day,2003-07-04,2003-07-04
2003,Labor Day,2003-09-01,2003-09-01
2003,Columbus Day,2003-10-20,2003-10-20
2003,Veterans Day,2003-11-11,2003-11-11
2003,Thanksgiving Day,2003-11-27,2003-11-27
2003,Christmas Day,2003-12-25,2003-12-25
2004,New Year's Day,2004-01-01,2004-01-01
2004,Martin Luther King Jr. Day,2004-01-26,2004-01-26
2004,Presidents' Day,2004-02-23,2004-02-23
2004,Memorial Day,2004-05-31,2004-05-31
2004,Juneteenth National Independence Day,2004-06-19,2004-06-18
2004,Independence Day,2004-07-04,2004-07-05
2004,Labor Day,2004-09-06,2004-09-06
2004,Columbus Day,2004-10-18,2004-10-18
2004,Veterans Day,2004-11-11,2004-11-11
2004,Thanksgiving Day,2004-11-25,2004-11-25
2004,Christmas Day,2004-12-25,2004-12-24
2005,New Year's Day,2005-01-01,2004-12-31
2005,Martin Luther King Jr. Day,2005-01-24,2005-01-24
2005,Presidents' Day,2005-02-28,2005-02-28
2005,Memorial Day,2005-05-30,2005-05-30
2005,Juneteenth National Independence Day,2005-06-19,2005-06-20
2005,Independence Day,2005-07-04,2005-07-04
2005,Labor Day,2005-09-05,2005-09-05
2005,Columbus Day,2005-10-17,2005-10-17
2005,Veterans Day,2005-11-11,2005-11-11
2005,Thanksgiving Day,2005-11-24,2005-11-24
2005,Christmas Day,2005-12-25,2005-12-26
2006,New Year's Day,2006-01-01,2006-01-02
2006,Martin Luther King Jr. Day,2006-01-23,2006-01-23
2006,Presidents' Day,2006-02-27,2006-02-27
2006,Memorial Day,2006-05-29,2006-05-29
2006,Juneteenth National Independence Day,2006-06-19,2006-06-19
2006,Independence Day,2006-07-04,2006-07-04
2006,Labor Day,2006-09-04,2006-09-04
2006,Columbus Day,2006-10-16,2006-10-16
2006,Veterans Day,2006-11-11,2006-11-10
2006,Thanksgiving Day,2006-11-23,2006-11-23
2006,Christmas Day,2006-12-25,2006-12-25
2007,New Year's Day,2007-01-01,2007-01-01
2007,Martin Luther King Jr. Day,2007-01-22,2007-01-22
2007,Presidents' Day,2007-02-26,2007-02-26
2007,Memorial Day,2007-06-04,2007-06-04
2007,Juneteenth National Independence Day,2007-06-19,2007-06-19
2007,Independence Day,2007-07-04,2007-07-04
2007,Labor Day,2007-09-03,2007-09-03
2007,Columbus Day,2007-10-15,2007-10-15
2007,Veterans Day,2007-11-11,2007-11-12
2007,Thanksgiving Day,2007-11-22,2007-11-22
2007,Christmas Day,2007-12-25,2007-12-25
2008,New Year's Day,2008-01-01,2008-01-01
2008,Martin Luther King Jr. Day,2008-01-28,2008-01-28
2008,Presidents' Day,2008-02-25,2008-02-25
2008,Memorial Day,2008-06-02,2008-06-02
2008,Juneteenth National Independence Day,2008-06-19,2008-06-19
2008,Independence Day,2008-07-04,2008-07-04
2008,Labor Day,2008-09-01,2008-09-01
2008,Columbus Day,2008-10-20,2008-10-20
2008,Veterans Day,2008-11-11,2008-11-11
2008,Thanksgiving Day,2008-11-27,2008-11-27
